ImageName,Label,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta1_Lambda1_LocalEnergy,Theta1_Lambda1_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude
103.png,bad,6519735,11547561,9106292,10185940,9276730,6519735,11547561,9106292,10185940,9276730,6519106,11422850,9152776,10068497,9370871,4087402,11646907,12392622,12953523,12592839,4086709,11625069,12429673,12950235,12587750,25254555,18370217,13336980,16355804,23780084,25254555,18370217,13336980,16355804,23780084,25246226,18352880,13355056,16368887,23766209,26004254,19294581,10404426,5368299,5679581,26002403,19294057,10404497,5368181,5679354
10394.jpg,bad,23907383,28559653,33981901,30083908,24065684,23907383,28559653,33981901,30083908,24065684,23880723,28471111,33962617,29867705,24203135,24176907,28250386,35177750,34846566,34371745,24175084,28300043,35304200,34890148,34309433,42715353,33240865,25536725,30671158,40195968,42715353,33240865,25536725,30671158,40195968,42645689,33189139,25534803,30646323,40122411,44558121,34370934,19895106,10265580,10860417,44560166,34372449,19895258,10265384,10860729
104.png,bad,7133274,11995759,8879229,11258554,10477850,7133274,11995759,8879229,11258554,10477850,7085221,11887526,8809859,11073763,10504700,3690599,12074850,12894257,13356265,13137249,3678594,12096330,12876576,13381697,13147979,26127460,18779703,13623453,16716482,24469288,26127460,18779703,13623453,16716482,24469288,26116093,18763916,13630349,16726511,24450998,26950101,19721430,10613271,5475845,5793487,26948000,19721300,10613086,5475951,5793419
10495.jpg,bad,22783522,28297976,31627272,29089665,23081064,22783522,28297976,31627272,29089665,23081064,22860115,28123243,31821918,28888585,23245233,23018352,28316788,34295253,33126785,32677845,23016814,28279378,34358570,33175897,32685688,38841304,29799348,22808698,27395475,36432358,38841304,29799348,22808698,27395475,36432358,38787999,29766463,22823234,27388811,36377139,40605508,30869152,17770589,9168803,9700801,40605850,30869148,17771096,9169229,9700632
105.png,bad,1547981,11702992,9236101,11884035,4498848,1547981,11702992,9236101,11884035,4498848,1574476,11595474,9373530,11764447,4506423,595103,11243230,10644040,11617284,10858222,598132,11274068,10654068,11665212,10876307,26151979,20222394,14579589,17904287,25499554,26151979,20222394,14579589,17904287,25499554,26140580,20226012,14603116,17925255,25483553,26326949,21295846,11373352,5868038,6208364,26326358,21296014,11373442,5868070,6208217
10596.jpg,bad,19012163,21164084,22090926,22071885,18056849,19012163,21164084,22090926,22071885,18056849,18987300,21005726,22140832,21968479,18142900,19326763,20310957,21656534,21513304,21575744,19351393,20329168,21668279,21569594,21428908,26589663,18275238,13179250,16186837,24362431,26589663,18275238,13179250,16186837,24362431,26585636,18276758,13182882,16190569,24358332,28233573,19252339,10267814,5297890,5604778,28233517,19252752,10268121,5298058,5605100
106.png,bad,1393608,4154762,4205308,4425289,2104951,1393608,4154762,4205308,4425289,2104951,1390221,4212228,4130682,4398881,2110266,1012934,4052580,4211082,4675073,4631593,1016799,4062272,4245038,4684935,4636671,10038998,7944050,5790406,7088195,9732363,10038998,7944050,5790406,7088195,9732363,10029713,7894764,5730552,7023831,9719892,10193748,8322244,4517820,2330467,2465737,10194127,8322316,4517784,2330385,2465673
10697.jpg,bad,26202396,23053140,34614990,27981756,25503011,26202396,23053140,34614990,27981756,25503011,26102918,23348020,34495117,27645626,25400440,26716217,22619663,32351473,34937730,35607685,26770728,22500410,32211829,34686227,35543342,50951002,38803552,29509202,35549162,47715011,50951002,38803552,29509202,35549162,47715011,50875528,38747340,29507155,35525292,47635760,53316285,40238827,22989287,11861750,12549741,53317994,40239768,22988891,11861719,12549278
10798.jpg,bad,25936604,26074541,35373909,30350590,25367108,25936604,26074541,35373909,30350590,25367108,25762515,26024159,35235862,30139556,25420358,26013727,24686888,32993961,34629154,35051139,25979607,24701910,32925423,34613278,35079495,47749506,36608339,27956427,33607054,44784924,47749506,36608339,27956427,33607054,44784924,47676101,36554321,27949138,33579278,44707656,49919525,37929864,21775327,11235678,11887033,49920327,37930716,21775403,11235446,11887071
10899.jpg,bad,22599695,19385362,26966148,23136413,22088138,22599695,19385362,26966148,23136413,22088138,22527758,19507319,26843094,22977314,22025150,23182831,19139373,25125471,26805525,27630223,23161615,19061836,24995462,26700245,27634315,38523377,27638916,20446766,24858929,35619174,38523377,27638916,20446766,24858929,35619174,38497456,27625967,20448264,24855564,35594656,40659633,28931213,15929531,8219011,8695841,40662017,28933232,15929990,8219423,8695705
10patch_19.jpg,bad,357993,1523589,14701290,3048968,442449,357993,1523589,14701290,3048968,442449,367425,1865361,13869436,3397936,462734,304762,1085574,17170604,18631037,18693326,304470,998006,17180675,18696408,18867286,41025621,40512233,36590798,39928136,40980011,41025621,40512233,36590798,39928136,40980011,41022111,40369031,36394122,39659812,40969536,41057846,40751536,28649258,14783367,15640296,41058990,40792790,28649071,14783284,15640070
11.jpg.png,bad,13726282,14115613,14294620,11281622,15072940,13726282,14115613,14294620,11281622,15072940,13752035,14027448,13986176,11265568,15185779,10123579,14923198,17478437,17942483,16692162,10089460,14946790,17463962,17934639,16700666,31558832,22598811,16993810,20323760,29183578,31558832,22598811,16993810,20323760,29183578,31507031,22530168,16973000,20269672,29121591,33116973,23660334,13284081,6853925,7251538,33115556,23658560,13284004,6853917,7251524
11.png,bad,127538,2429897,13458409,12538852,149576,127538,2429897,13458409,12538852,149576,134191,2325801,13355856,12438793,176558,124499,1132035,13337578,15025346,15806179,124452,1147948,13348758,15087863,15810789,31533730,31087213,23552057,28901380,31530182,31533730,31087213,23552057,28901380,31530182,31532821,31049347,23541608,28890061,31524932,31534143,31334893,18347714,9467116,10015709,31534146,31333542,18347598,9467071,10015715
11108.jpg,bad,23862411,23473266,31435582,26200399,23484134,23862411,23473266,31435582,26200399,23484134,23865768,23479130,31298074,26155976,23509401,24224622,22874769,30193479,31654895,32019994,24283213,22880432,30268126,31669392,31979036,44532847,33604564,25615442,30755979,41616860,44532847,33604564,25615442,30755979,41616860,44499208,33582082,25614682,30742720,41584637,46672886,34903201,19956533,10297019,10893600,46673249,34903538,19956856,10297018,10893882
11patch_20.jpg,bad,438944,2716409,15989560,4657560,673471,438944,2716409,15989560,4657560,673471,447344,3051372,15177741,4663149,737591,307191,2080584,17299318,18504553,18265060,295066,2008846,17354359,18568318,18333233,41046232,39982331,35004770,39021588,40953161,41046232,39982331,35004770,39021588,40953161,41050960,39748852,34820303,38717615,40940959,41097475,40455414,27421040,14150173,14969696,41106948,40508068,27420805,14149740,14969293
12.jpg.png,bad,7455922,14370876,8866160,13111786,13236844,7455922,14370876,8866160,13111786,13236844,7493460,14315014,8739562,13074105,13192286,4431552,13621090,15920723,17672763,17688665,4479769,13629946,15882531,17680082,17576400,32565150,23570270,17680814,21159906,30553592,32565150,23570270,17680814,21159906,30553592,32512100,23492992,17655156,21097131,30489162,33389076,24694368,13836151,7138827,7552697,33389385,24694258,13836369,7138960,7552808
12.png,bad,113534,411952,13296028,7037484,114518,113534,411952,13296028,7037484,114518,113666,447938,13360152,6978773,114398,113303,178278,12863614,14245341,15535876,113303,178483,12797980,14243415,15511922,28888394,28841174,22852418,27889064,28888250,28888394,28841174,22852418,27889064,28888250,28888394,28835384,22849188,27880253,28888192,28888437,28878330,17803228,9185867,9718548,28888437,28877985,17803116,9185953,9718594
1211.jpg,bad,21400749,20370584,32832386,25492803,20476768,21400749,20370584,32832386,25492803,20476768,21295333,20345796,32563417,25308333,20249415,21765310,19059224,29914704,32137158,32336215,21790323,19111398,29904525,32146623,32247122,49231385,39680564,30795988,36921729,46694292,49231385,39680564,30795988,36921729,46694292,49166641,39639186,30794921,36903837,46626097,51088426,40822170,23992028,12378920,13096469,51090505,40822748,23991607,12379089,13096602
12patch_21.jpg,bad,375316,2107831,17518213,4026858,528919,375316,2107831,17518213,4026858,528919,372220,2386547,17030004,4096709,527508,302553,1551556,18567879,19091889,18624294,299273,1478998,18661342,19104346,18648142,41432192,40665869,35382145,39883618,41368167,41432192,40665869,35382145,39883618,41368167,41431692,40560255,35313908,39707157,41366558,41469859,41020758,27689219,14287175,15115588,41473485,41050292,27689080,14286968,15115236
13.jpg.png,bad,11852322,13738432,12211038,11803111,14169248,11852322,13738432,12211038,11803111,14169248,11862086,13640206,12092012,11603960,14077513,8982284,14043444,16564051,17450928,17674430,8989082,14076186,16483154,17506603,17665210,30908954,22256404,16826674,20041501,28682870,30908954,22256404,16826674,20041501,28682870,30846820,22176346,16807378,19974984,28611483,32216208,23287812,13156901,6788564,7181878,32219484,23288130,13156942,6788367,7181952
13.png,bad,120372,9559412,14343982,14715543,136113,120372,9559412,14343982,14715543,136113,122916,9444846,14251416,14739386,172469,119168,3210665,8950625,12823305,15832063,119144,3210803,8962658,12852996,15852881,30330516,28900994,21008074,25794215,30328067,30330516,28900994,21008074,25794215,30328067,30330194,28895266,21019232,25802098,30322827,30330692,29904639,16389371,8458175,8948379,30330678,29902559,16389482,8458136,8948487
1312.jpg,bad,23984821,20366391,33926786,25392300,23446673,23984821,20366391,33926786,25392300,23446673,24019433,20467323,33765364,25372521,23382705,24176141,20276355,32036950,34517813,35379793,24185005,20282731,31951083,34563184,35320787,53523901,42107947,32395864,38863132,50488529,53523901,42107947,32395864,38863132,50488529,53463535,42066423,32395710,38845657,50425815,55750101,43476487,25238968,13022815,13777631,55751955,43477705,25239273,13022926,13777633
13patch_22.jpg,bad,523438,2871404,12122237,5214378,784987,523438,2871404,12122237,5214378,784987,593126,2915407,11764222,5047798,917076,370934,2364889,19731959,18272186,20095575,371881,2358903,19705487,18213652,20079482,41006304,39924946,35013947,38944690,40900799,41006304,39924946,35013947,38944690,40900799,40980116,39692247,34910236,38704142,40838126,41070126,40291623,28092109,14495282,15335851,41066961,40304767,28091719,14495392,15335834
14.jpg.png,bad,5729671,13875201,9653543,13988782,10820841,5729671,13875201,9653543,13988782,10820841,5775386,13960961,9666004,13937382,10790910,3331780,14014138,15705187,17182857,16759381,3347532,13985866,15706443,17239035,16738746,32723709,23997703,17904463,21504130,31086465,32723709,23997703,17904463,21504130,31086465,32673106,23913325,17874666,21430554,31022300,33355814,25161012,14015839,7231561,7650755,33354674,25160612,14015917,7231555,7650628
14.png,bad,152621,9225342,15096503,15108008,242525,152621,9225342,15096503,15108008,242525,173781,9046377,15068471,14925255,274846,134570,3067872,10765306,14325786,16616657,134917,3077177,10772691,14324736,16577161,31871493,30413062,22128827,27179662,31855097,31871493,30413062,22128827,27179662,31855097,31866983,30405175,22133549,27183775,31843642,31874536,31361856,17240632,8895692,9411325,31874603,31361765,17240577,8895592,9411239
1413.jpg,bad,18122123,20493046,24048996,22762343,16606714,18122123,20493046,24048996,22762343,16606714,18037054,20554304,24020065,22747210,16597736,19013434,19657304,23538587,24012963,23922768,18995529,19609649,23542355,24009256,23884697,32009481,24104000,17958496,21934581,29902624,32009481,24104000,17958496,21934581,29902624,31982744,24089568,17960505,21930420,29875306,33558814,25045306,13991697,7219281,7637892,33562137,25046887,13991093,7219070,7637953
14patch_23.jpg,bad,502743,3321095,17462681,5801174,782623,502743,3321095,17462681,5801174,782623,568323,3502271,16739915,5561828,930001,350834,2642954,18229091,19172963,18603657,354092,2541540,18218401,19223728,18614271,41033273,39783375,33665355,38616940,40925189,41033273,39783375,33665355,38616940,40925189,41001769,39468193,33549203,38283780,40856957,41088280,40258900,26301509,13571679,14358367,41089976,40297584,26301547,13571358,14358139
15.jpg.png,bad,4233585,13818690,10020548,14387165,9354649,4233585,13818690,10020548,14387165,9354649,4330765,13852288,10196827,14441222,9348809,2465037,13991240,18853557,21096900,20247205,2483245,13965526,18859255,21156187,20246433,40381061,31738514,25378478,29144687,39020661,40381061,31738514,25378478,29144687,39020661,40327045,31666150,25352413,29083364,38951911,40846779,32951660,20046869,10343718,10943155,40842883,32943550,20046901,10343595,10942935
15.png,bad,123328,900163,13876427,7360922,127902,123328,900163,13876427,7360922,127902,123329,947382,13851449,7349092,132545,121955,341100,13721130,15252802,15491560,122776,350070,13664574,15231562,15514795,30329506,30190177,23900187,29030552,30328238,30329506,30190177,23900187,29030552,30328238,30329323,30162024,23907071,29007342,30327345,30330017,30287536,18641974,9620242,10178042,30329984,30285816,18641788,9620470,10177971
1514.jpg,bad,17752718,22831350,21967373,23143603,17175023,17752718,22831350,21967373,23143603,17175023,17837746,22807891,22085285,23036247,17302831,18511587,22786301,24579013,23117860,22879180,18495387,22708515,24550058,23121759,22789953,25973330,18174576,13200127,16201399,23885383,25973330,18174576,13200127,16201399,23885383,25975046,18178799,13202649,16204891,23887813,27517071,19094975,10283963,5306104,5613606,27518139,19095805,10284042,5306141,5613873
15patch_24.jpg,bad,383745,1673439,10490855,2733595,517741,383745,1673439,10490855,2733595,517741,417549,1847656,9979392,2702505,595520,291517,1372338,17422884,18357547,13032751,299979,1307472,17466185,18400434,13036974,41034613,40406149,37382125,39868557,40973961,41034613,40406149,37382125,39868557,40973961,41026367,40221656,37241314,39648903,40942726,41076519,40663284,30851318,15920197,16843549,41072129,40680488,30851129,15920138,16843442
16.jpg.png,bad,9291214,15115228,9898894,13271075,14474315,9291214,15115228,9898894,13271075,14474315,9360778,15094135,9945255,13186052,14410326,5856316,14442070,16052739,17256606,17746099,5835290,14534022,16074156,17220086,17715758,31926230,22539646,16528220,20078053,29683327,31926230,22539646,16528220,20078053,29683327,31860302,22467615,16520109,20023566,29611080,32962208,23687362,12895601,6653164,7038895,32966072,23687834,12895620,6653230,7038912
16.png,bad,117416,863663,12890594,10305048,127754,117416,863663,12890594,10305048,127754,125340,908425,12978135,10095265,139414,116489,385082,12984909,13844257,15794453,116489,392351,12972799,13808039,15765573,29702554,29545067,22902042,28091576,29701114,29702554,29545067,22902042,28091576,29701114,29701518,29536007,22897887,28080303,29697708,29702653,29643370,17841869,9206055,9739713,29702653,29642151,17841963,9206099,9739733
1615.jpg,bad,25877970,27516479,35023284,31101066,24430805,25877970,27516479,35023284,31101066,24430805,25819553,27379038,34900469,30965013,24461728,26645191,25522550,32648533,33945427,34180793,26628736,25533997,32653750,33990261,33951655,47063630,35929803,27437472,32944494,44100515,47063630,35929803,27437472,32944494,44100515,47001097,35887344,27439017,32924331,44036480,49232319,37255558,21375993,11029173,11668625,49237460,37259635,21376430,11029763,11669053
16patch_25.jpg,bad,441747,2883824,16907876,5259185,640810,441747,2883824,16907876,5259185,640810,529647,3064629,16333782,5083524,808240,346929,2198711,18805144,19430781,17610724,344333,2105768,18810371,19462233,17677187,41026705,40001844,33961022,38966443,40944380,41026705,40001844,33961022,38966443,40944380,41002243,39699629,33797270,38624654,40878362,41074579,40420113,26795792,13827205,14628544,41075867,40439558,26795431,13826909,14628173
17.jpg.png,bad,9897354,14839934,10836016,13227830,14224913,9897354,14839934,10836016,13227830,14224913,9941575,14744490,10815520,13193284,14133979,6249265,14699282,16908670,18133875,18459291,6244808,14641901,16848903,18047600,18464422,33423196,24137864,18159390,21697204,31211333,33423196,24137864,18159390,21697204,31211333,33363621,24071808,18140774,21644720,31147073,34520623,25281900,14215414,7334441,7759691,34519722,25279145,14215341,7334464,7759668
17.png,bad,121979,5312635,13445981,13018088,155128,121979,5312635,13445981,13018088,155128,127537,5276522,13476193,13125973,176058,116668,1596218,11547948,14231293,15073255,117333,1603164,11596961,14309977,15027887,29702073,28906985,21336321,26201186,29696784,29702073,28906985,21336321,26201186,29696784,29700835,28902106,21337045,26203063,29691938,29702626,29456912,16622400,8576859,9073935,29702553,29456218,16622577,8576735,9074061
1716.jpg,bad,18790949,20440738,22594355,22092492,17497166,18790949,20440738,22594355,22092492,17497166,18736227,20387176,22445357,22019172,17463826,19277902,19161095,21491526,22043100,22153057,19295382,19132007,21464009,21984495,22074301,28454615,20142052,14695599,18026668,26230108,28454615,20142052,14695599,18026668,26230108,28450225,20141148,14696345,18027544,26226726,30097530,21124113,11448970,5907346,6249677,30099350,21125079,11448813,5907419,6249851
17patch_26.jpg,bad,636726,3494517,17749826,5673323,975425,636726,3494517,17749826,5673323,975425,735025,3674291,16887893,5477012,1157374,424292,2891323,18596887,19395208,18477078,411735,2837104,18565853,19369012,18453478,40978928,39575331,33405968,38435015,40834485,40978928,39575331,33405968,38435015,40834485,40945919,39198825,33229477,38030024,40749356,41065924,40066127,26087251,13462084,14241950,41067585,40105470,26087319,13461946,14242040
18.jpg.png,bad,6280329,15335715,8087266,14172935,13500590,6280329,15335715,8087266,14172935,13500590,6317320,15349268,8088720,14207449,13447888,3300239,14159246,16140726,18192759,18728168,3279657,14152519,16145084,18166983,18728887,34381991,24853525,18539626,22270885,32331744,34381991,24853525,18539626,22270885,32331744,34320742,24780096,18521532,22209571,32262238,35065439,26058924,14492936,7477869,7911128,35063447,26057479,14493052,7477913,7911221
18.png,bad,133412,10145441,14073165,13674548,211871,133412,10145441,14073165,13674548,211871,141359,10060787,14065219,13686642,238143,124087,7143242,9316889,12090315,13434168,124110,7129288,9319989,12133614,13407486,30829002,28302191,20625457,25334898,30816803,30829002,28302191,20625457,25334898,30816803,30826845,28290159,20622793,25332400,30810649,30830187,29328540,16068903,8291243,8772096,30830202,29327948,16069131,8291130,8771746
1817.jpg,bad,24025454,22950008,32903660,27239823,23123371,24025454,22950008,32903660,27239823,23123371,24012893,22904362,32857842,27099258,23125467,24105866,21032792,30281062,32233360,32894766,24145506,21001545,30205230,32210117,32875869,47204718,36664298,28418116,33874263,44399253,47204718,36664298,28418116,33874263,44399253,47137997,36606754,28417086,33843774,44326997,49258378,37912648,22140014,11423730,12085662,49261652,37915213,22140140,11423841,12085941
18patch_27.jpg,bad,536609,3236077,17619343,5595112,805632,536609,3236077,17619343,5595112,805632,672465,3448662,16820960,5266852,1024395,387862,2561899,18377809,19324459,18532411,380523,2526655,18352114,19288437,18490719,41007275,39805765,33755115,38697960,40896876,41007275,39805765,33755115,38697960,40896876,40954211,39380854,33537572,38251304,40784983,41068500,40217769,26376623,13611419,14399727,41066741,40246877,26376692,13612153,14400593
19.jpg.png,bad,3088975,14608788,11722328,15249219,6577117,3088975,14608788,11722328,15249219,6577117,3175824,14625287,11692026,15053927,6597287,2070823,14940262,15850707,16474003,14466815,2068919,14863909,15915044,16553535,14422785,33907849,25796958,18938208,22999981,32972597,33907849,25796958,18938208,22999981,32972597,33849448,25725825,18924410,22947111,32903871,34229531,27103946,14782063,7627119,8069171,34228733,27102471,14782256,7627203,8069207
19.png,bad,132499,2577560,13425665,13685009,154437,132499,2577560,13425665,13685009,154437,139226,2443676,13319260,13718887,214169,129350,1075244,14007844,15915746,15929327,129612,1062702,14010852,15923618,15941952,32737159,32254636,24231771,29750125,32733717,32737159,32254636,24231771,29750125,32733717,32736244,32253070,24244786,29757367,32723635,32737656,32539754,18891068,9746924,10312195,32737566,32540460,18891220,9746936,10312150
1918.jpg,bad,22328194,24814391,33713320,27911754,21151590,22328194,24814391,33713320,27911754,21151590,22241596,24715017,33537701,27775177,21221325,22725018,23563938,32749275,33832259,33476994,22740242,23603227,32747813,33826229,33478264,46829592,37481799,29096738,34859662,44344084,46829592,37481799,29096738,34859662,44344084,46761562,37425687,29095161,34830483,44273037,48647462,38596148,22668703,11696393,12374700,48648370,38597049,22668669,11696549,12374466
19patch_28.jpg,bad,432999,2876208,17710401,5288870,648321,432999,2876208,17710401,5288870,648321,519434,3093940,17159634,5082128,816291,326647,2202239,18926528,19730691,18191686,312903,2148148,18896535,19736836,18287854,41056623,40043692,33749945,39004442,40971971,41056623,40043692,33749945,39004442,40971971,41027958,39693622,33572332,38621680,40902315,41099601,40404037,26436536,13641925,14432592,41104347,40455838,26436327,13641300,14431758
1patch_10.jpg,bad,258398,2089373,18639833,5307692,343352,258398,2089373,18639833,5307692,343352,301291,2395036,18373989,5227311,389692,231636,1282238,19123203,20164374,18734141,229479,1237711,19127134,20236608,18769087,41118774,40543479,33875101,39554272,41089626,41118774,40543479,33875101,39554272,41089626,41094643,40345804,33772239,39315943,41049284,41132606,40832068,26419967,13632732,14423075,41133355,40846107,26420046,13632760,14422797
